Area,HPI,House_type
Whistler,260.70 ,Detached
West Vancouver,287.30 ,Detached
Vancouver West,332.40 ,Detached
Vancouver East,362.30 ,Detached
Tsawwassen,292.40 ,Detached
Sunshine Coast,268.00 ,Detached
Squamish,288.50 ,Detached
Richmond,338.60 ,Detached
Port Moody,321.20 ,Detached
Port Coquitlam,327.00 ,Detached
Pitt Meadows,322.10 ,Detached
North Vancouver,291.80 ,Detached
New Westminster,307.00 ,Detached
Maple Ridge,297.40 ,Detached
Ladner,288.60 ,Detached
Coquitlam,318.20 ,Detached
Burnaby South,324.70 ,Detached
Burnaby North,315.70 ,Detached
Burnaby East,309.20 ,Detached
Bowen Island,273.10 ,Detached
Lower Mainland,321.60 ,Detached
Whistler,261.50 ,Townhouse
Vancouver West,277.80 ,Townhouse
Vancouver East,311.70 ,Townhouse
Tsawwassen,259.70 ,Townhouse
Squamish,271.80 ,Townhouse
Richmond,284.00 ,Townhouse
Port Moody,231.40 ,Townhouse
Port Coquitlam,285.30 ,Townhouse
Pitt Meadows,292.80 ,Townhouse
North Vancouver,255.70 ,Townhouse
New Westminster,294.20 ,Townhouse
Maple Ridge,294.50 ,Townhouse
Ladner,251.80 ,Townhouse
Coquitlam,277.80 ,Townhouse
Burnaby South,282.40 ,Townhouse
Burnaby North,290.30 ,Townhouse
Burnaby East,258.70 ,Townhouse
Lower Mainland,277.00 ,Townhouse
Coquitlam,307.70 ,Apartment
Burnaby South,274.10 ,Apartment
Burnaby North,272.10 ,Apartment
Burnaby East,286.60 ,Apartment
Lower Mainland,295.70 ,Apartment
Ladner,256.20 ,Apartment
Maple Ridge,288.40 ,Apartment
New Westminster,308.10 ,Apartment
North Vancouver,250.90 ,Apartment
Pitt Meadows,323.50 ,Apartment
Port Coquitlam,299.90 ,Apartment
Port Moody,290.80 ,Apartment
Richmond,297.90 ,Apartment
Squamish,251.70 ,Apartment
Tsawwassen,253.60 ,Apartment
Vancouver East,348.40 ,Apartment
Vancouver West,265.00 ,Apartment
West Vancouver,232.30 ,Apartment
Whistler,209.70 ,Apartment
