Date,Single_Family,One_Storey,Two_Storey,Townhouse,Apartment
2005/1/1,550700,435200,613700,314700,253500
2005/2/1,550600,435300,613400,315700,254700
2005/3/1,550700,435300,612300,316500,256100
2005/4/1,550300,436300,612900,317300,256500
2005/5/1,552700,437800,615000,318900,259100
2005/6/1,555700,440200,617800,320900,263200
2005/7/1,564700,448400,627900,324900,267800
2005/8/1,574500,456800,637900,329000,270600
2005/9/1,583500,464700,647200,333300,276200
2005/10/1,592600,472000,657200,337600,280100
2005/11/1,601300,478900,667100,342000,284600
2005/12/1,610700,486100,677400,346200,289800
2006/1/1,620100,493000,687800,351600,294300
2006/2/1,629000,499900,698300,356800,299800
2006/3/1,637800,507100,708700,361800,304100
2006/4/1,646400,512800,717600,367400,309700
2006/5/1,654200,520000,726400,373400,314500
2006/6/1,663200,527200,735800,379800,317300
2006/7/1,669300,531300,744000,383100,321400
2006/8/1,675300,535100,751400,387000,325000
2006/9/1,681200,538800,758400,390800,327400
2006/10/1,686900,543100,765300,395100,329700
2006/11/1,692500,547600,771800,399700,332000
2006/12/1,698200,551700,777900,403900,332200
2007/1/1,703700,556100,784100,406000,337800
2007/2/1,709400,560300,790600,407800,340100
2007/3/1,714500,564700,796200,409500,342500
2007/4/1,721600,569000,804500,412000,345400
2007/5/1,729000,574700,813500,414200,347900
2007/6/1,737700,581200,823000,417200,350700
2007/7/1,745000,586700,832200,421300,355400
2007/8/1,753000,592600,841100,425500,359900
2007/9/1,760300,598300,849600,430200,362400
2007/10/1,768900,604400,859200,433800,368200
2007/11/1,777100,610600,868500,437900,373300
2007/12/1,785300,616500,878000,441400,377400
2008/1/1,790600,621100,884400,445600,379400
2008/2/1,796200,624600,890600,449000,381800
2008/3/1,801600,628400,894600,452700,383000
2008/4/1,797400,626400,892900,452200,381400
2008/5/1,794400,623300,889300,452200,379600
2008/6/1,794800,623500,888700,452900,379000
2008/7/1,783400,612600,878000,449300,373100
2008/8/1,772900,603100,867000,445600,369900
2008/9/1,762100,594000,855800,442300,365600
2008/10/1,748000,583200,839700,433700,357800
2008/11/1,733600,572000,823200,425800,348400
2008/12/1,720200,561300,808700,417300,339100
2009/1/1,710400,554400,797400,414000,337400
2009/2/1,700700,546200,786700,409400,333300
2009/3/1,691100,539900,774200,405000,329600
2009/4/1,694700,540500,779900,405800,332600
2009/5/1,700800,544900,787100,408400,337000
2009/6/1,710100,551700,798000,411000,342200
2009/7/1,725800,564000,815700,417600,349600
2009/8/1,742900,578500,833700,423800,355000
2009/9/1,760200,593700,852000,431100,361900
2009/10/1,775600,605300,869900,437100,366400
2009/11/1,790500,617200,886400,444600,372700
2009/12/1,807900,629200,906500,451000,378600
2010/1/1,818400,637800,918300,457300,379900
2010/2/1,826300,644300,927100,461000,382000
2010/3/1,835800,649700,937300,462800,381100
2010/4/1,833800,646400,938500,464700,381000
2010/5/1,831900,645800,935300,464800,377300
2010/6/1,826900,640600,930600,463700,373600
2010/7/1,823700,637400,928200,461300,369600
2010/8/1,821600,631100,928200,457800,369400
2010/9/1,822700,632200,929100,456400,368900
2010/10/1,825900,634700,932800,458100,371000
2010/11/1,835300,639500,945300,459900,372800
2010/12/1,840400,639100,953400,463700,373900
2011/1/1,855700,650300,971100,466500,375100
2011/2/1,868300,664200,982800,469700,375200
2011/3/1,879600,674600,993800,471800,379100
2011/4/1,899800,688400,1017300,472500,379600
2011/5/1,910100,697700,1028800,472200,381200
2011/6/1,920400,704600,1040800,474500,382100
2011/7/1,929500,711800,1052300,476400,383100
2011/8/1,936100,715400,1059100,480100,383200
2011/9/1,939400,714200,1066000,480700,381500
2011/10/1,944200,716600,1072600,481000,380700
2011/11/1,947400,720700,1074900,479200,382000
2011/12/1,946200,722300,1071100,479100,383400
2012/1/1,947200,727100,1070700,475900,384800
2012/2/1,953900,729400,1079200,478000,385900
