Period,Area,Benchmark,House_type,,,,,
Jan-05,Lower Mainland,468900.00 ,Detached,,,,,
Jan-05,Bowen Island,461200.00 ,Detached,,,,,
Jan-05,Burnaby East,447200.00 ,Detached,,,,,
Jan-05,Burnaby North,517100.00 ,Detached,,,,,
Jan-05,Burnaby South,522400.00 ,Detached,,,,,
Jan-05,Coquitlam,450600.00 ,Detached,,,,,
Jan-05,Ladner,417800.00 ,Detached,,,,,
Jan-05,Maple Ridge,351000.00 ,Detached,,,,,
Jan-05,New Westminster,400900.00 ,Detached,,,,,
Jan-05,North Vancouver,635100.00 ,Detached,,,,,
Jan-05,Pitt Meadows,354900.00 ,Detached,,,,,
Jan-05,Port Coquitlam,375000.00 ,Detached,,,,,
Jan-05,Port Moody,541500.00 ,Detached,,,,,
Jan-05,Richmond,516200.00 ,Detached,,,,,
Jan-05,Squamish,379500.00 ,Detached,,,,,
Jan-05,Sunshine Coast,285400.00 ,Detached,,,,,
Jan-05,Tsawwassen,448700.00 ,Detached,,,,,
Jan-05,Vancouver East,454000.00 ,Detached,,,,,
Jan-05,Vancouver West,988600.00 ,Detached,,,,,
Jan-05,West Vancouver,1059300.00 ,Detached,,,,,
Jan-05,Whistler,718900.00 ,Detached,,,,,
Jan-05,Lower Mainland,275700.00 ,Townhouse,,,,,
Jan-05,Burnaby East,270700.00 ,Townhouse,,,,,
Jan-05,Burnaby North,267900.00 ,Townhouse,,,,,
Jan-05,Burnaby South,290300.00 ,Townhouse,,,,,
Jan-05,Coquitlam,272500.00 ,Townhouse,,,,,
Jan-05,Ladner,278800.00 ,Townhouse,,,,,
Jan-05,Maple Ridge,215400.00 ,Townhouse,,,,,
Jan-05,New Westminster,272500.00 ,Townhouse,,,,,
Jan-05,North Vancouver,411600.00 ,Townhouse,,,,,
Jan-05,Pitt Meadows,231100.00 ,Townhouse,,,,,
Jan-05,Port Coquitlam,264100.00 ,Townhouse,,,,,
Jan-05,Port Moody,295900.00 ,Townhouse,,,,,
Jan-05,Richmond,304500.00 ,Townhouse,,,,,
Jan-05,Squamish,304100.00 ,Townhouse,,,,,
Jan-05,Tsawwassen,255100.00 ,Townhouse,,,,,
Jan-05,Vancouver East,314400.00 ,Townhouse,,,,,
Jan-05,Vancouver West,427700.00 ,Townhouse,,,,,
Jan-05,Whistler,414800.00 ,Townhouse,,,,,
Jan-05,Lower Mainland,233400.00 ,Apartment,,,,,
Jan-05,Burnaby East,260700.00 ,Apartment,,,,,
Jan-05,Burnaby North,234200.00 ,Apartment,,,,,
Jan-05,Burnaby South,249100.00 ,Apartment,,,,,
Jan-05,Coquitlam,182200.00 ,Apartment,,,,,
Jan-05,Ladner,214200.00 ,Apartment,,,,,
Jan-05,Maple Ridge,140100.00 ,Apartment,,,,,
Jan-05,New Westminster,176500.00 ,Apartment,,,,,
Jan-05,North Vancouver,245200.00 ,Apartment,,,,,
Jan-05,Pitt Meadows,169600.00 ,Apartment,,,,,
Jan-05,Port Coquitlam,167200.00 ,Apartment,,,,,
Jan-05,Port Moody,240000.00 ,Apartment,,,,,
Jan-05,Richmond,233600.00 ,Apartment,,,,,
Jan-05,Squamish,202900.00 ,Apartment,,,,,
Jan-05,Tsawwassen,232200.00 ,Apartment,,,,,
Jan-05,Vancouver East,177900.00 ,Apartment,,,,,
Jan-05,Vancouver West,308200.00 ,Apartment,,,,,
Jan-05,West Vancouver,492200.00 ,Apartment,,,,,
Jan-05,Whistler,255300.00 ,Apartment,,,,,
Feb-05,Lower Mainland,471300.00 ,Detached,,,,,
Feb-05,Bowen Island,464500.00 ,Detached,,,,,
Feb-05,Burnaby East,450300.00 ,Detached,,,,,
Feb-05,Burnaby North,519200.00 ,Detached,,,,,
Feb-05,Burnaby South,524500.00 ,Detached,,,,,
Feb-05,Coquitlam,452400.00 ,Detached,,,,,
Feb-05,Ladner,418600.00 ,Detached,,,,,
Feb-05,Maple Ridge,351700.00 ,Detached,,,,,
Feb-05,New Westminster,403700.00 ,Detached,,,,,
Feb-05,North Vancouver,639500.00 ,Detached,,,,,
Feb-05,Pitt Meadows,355900.00 ,Detached,,,,,
Feb-05,Port Coquitlam,376500.00 ,Detached,,,,,
Feb-05,Port Moody,543100.00 ,Detached,,,,,
Feb-05,Richmond,519300.00 ,Detached,,,,,
Feb-05,Squamish,383300.00 ,Detached,,,,,
Feb-05,Sunshine Coast,287200.00 ,Detached,,,,,
Feb-05,Tsawwassen,454100.00 ,Detached,,,,,
Feb-05,Vancouver East,457600.00 ,Detached,,,,,
Feb-05,Vancouver West,992600.00 ,Detached,,,,,
Feb-05,West Vancouver,1066700.00 ,Detached,,,,,
Feb-05,Whistler,726800.00 ,Detached,,,,,
Feb-05,Lower Mainland,277100.00 ,Townhouse,,,,,
Feb-05,Burnaby East,271500.00 ,Townhouse,,,,,
Feb-05,Burnaby North,270900.00 ,Townhouse,,,,,
Feb-05,Burnaby South,292600.00 ,Townhouse,,,,,
Feb-05,Coquitlam,273900.00 ,Townhouse,,,,,
Feb-05,Ladner,282100.00 ,Townhouse,,,,,
Feb-05,Maple Ridge,216500.00 ,Townhouse,,,,,
Feb-05,New Westminster,274700.00 ,Townhouse,,,,,
Feb-05,North Vancouver,413600.00 ,Townhouse,,,,,
Feb-05,Pitt Meadows,231800.00 ,Townhouse,,,,,
Feb-05,Port Coquitlam,265700.00 ,Townhouse,,,,,
Feb-05,Port Moody,297700.00 ,Townhouse,,,,,
Feb-05,Richmond,305700.00 ,Townhouse,,,,,
Feb-05,Squamish,303200.00 ,Townhouse,,,,,
Feb-05,Tsawwassen,258100.00 ,Townhouse,,,,,
Feb-05,Vancouver East,317900.00 ,Townhouse,,,,,
Feb-05,Vancouver West,432000.00 ,Townhouse,,,,,
Feb-05,Whistler,413500.00 ,Townhouse,,,,,
