Date,Total_immigration
2006/3/1,5559.40 
2006/4/1,5570.10 
2006/5/1,5618.30 
2006/6/1,5674.50 
2006/7/1,5754.80 
2006/8/1,5800.40 
2006/9/1,5829.00 
2006/10/1,5832.90 
2006/11/1,5828.60 
2006/12/1,5824.10 
2007/1/1,5806.90 
2007/2/1,5776.90 
2007/3/1,5780.40 
2007/4/1,5805.90 
2007/5/1,5851.60 
2007/6/1,5863.60 
2007/7/1,5893.60 
2007/8/1,5932.20 
2007/9/1,5956.50 
2007/10/1,5946.40 
2007/11/1,5915.20 
2007/12/1,5895.40 
2008/1/1,5864.80 
2008/2/1,5868.80 
2008/3/1,5899.20 
2008/4/1,5947.00 
2008/5/1,5953.00 
2008/6/1,5959.50 
2008/7/1,5990.50 
2008/8/1,6014.90 
2008/9/1,6010.40 
2008/10/1,5980.90 
2008/11/1,5976.40 
2008/12/1,5987.10 
2009/1/1,5985.60 
2009/2/1,5981.20 
2009/3/1,5971.80 
2009/4/1,5973.70 
2009/5/1,5980.20 
2009/6/1,6009.10 
2009/7/1,6030.70 
2009/8/1,6048.30 
2009/9/1,6057.40 
2009/10/1,6074.20 
2009/11/1,6107.30 
2009/12/1,6105.20 
2010/1/1,6121.00 
2010/2/1,6138.40 
2010/3/1,6165.70 
2010/4/1,6144.70 
2010/5/1,6134.30 
2010/6/1,6137.90 
2010/7/1,6159.40 
2010/8/1,6149.70 
2010/9/1,6140.00 
2010/10/1,6145.90 
2010/11/1,6163.70 
2010/12/1,6174.90 
2011/1/1,6213.10 
2011/2/1,6240.20 
2011/3/1,6290.50 
2011/4/1,6307.70 
2011/5/1,6327.00 
2011/6/1,6349.30 
2011/7/1,6361.80 
2011/8/1,6378.90 
2011/9/1,6356.40 
2011/10/1,6355.90 
2011/11/1,6379.60 
2011/12/1,6397.60 
2012/1/1,6409.70 
2012/2/1,6406.40 
2012/3/1,6420.70 
2012/4/1,6431.10 
2012/5/1,6427.60 
2012/6/1,6427.60 
2012/7/1,6437.80 
2012/8/1,6433.30 
2012/9/1,6435.70 
2012/10/1,6419.10 
2012/11/1,6424.40 
2012/12/1,6432.40 
2013/1/1,6468.90 
2013/2/1,6510.90 
2013/3/1,6525.50 
2013/4/1,6531.00 
2013/5/1,6524.40 
2013/6/1,6556.70 
2013/7/1,6589.60 
2013/8/1,6621.20 
2013/9/1,6651.00 
2013/10/1,6714.80 
2013/11/1,6776.90 
2013/12/1,6811.60 
2014/1/1,6812.90 
2014/2/1,6833.20 
2014/3/1,6868.20 
2014/4/1,6884.90 
2014/5/1,6892.20 
2014/6/1,6884.90 
2014/7/1,6895.70 
2014/8/1,6859.70 
2014/9/1,6844.40 
2014/10/1,6800.00 
2014/11/1,6776.30 
2014/12/1,6746.00 
2015/1/1,6721.70 
2015/2/1,6746.30 
2015/3/1,6785.80 
2015/4/1,6838.30 
2015/5/1,6887.40 
2015/6/1,6922.80 
2015/7/1,6966.10 
2015/8/1,6978.60 
2015/9/1,7018.30 
2015/10/1,7052.30 
2015/11/1,7093.30 
2015/12/1,7096.30 
2016/1/1,7112.80 
2016/2/1,7132.50 
2016/3/1,7145.20 
2016/4/1,7153.30 
2016/5/1,7181.30 
2016/6/1,7239.30 
2016/7/1,7278.60 
2016/8/1,7307.70 
2016/9/1,7352.30 
2016/10/1,7412.50 
2016/11/1,7450.60 
2016/12/1,7437.70 
2017/1/1,7408.90 
2017/2/1,7393.10 
2017/3/1,7386.40 
2017/4/1,7354.40 
2017/5/1,7317.50 
2017/6/1,7308.20 
2017/7/1,7327.80 
2017/8/1,7341.10 
2017/9/1,7357.80 
2017/10/1,7387.70 
2017/11/1,7414.90 
2017/12/1,7422.60 
2018/1/1,7439.00 
2018/2/1,7495.70 
2018/3/1,7545.20 
2018/4/1,7572.70 
2018/5/1,7560.40 
2018/6/1,7578.70 
2018/7/1,7598.10 
2018/8/1,7619.00 
2018/9/1,7623.50 
2018/10/1,7653.80 
2018/11/1,7707.40 
2018/12/1,7767.00 
2019/1/1,7829.70 
2019/2/1,7855.30 
2019/3/1,7855.90 
2019/4/1,7820.80 
2019/5/1,7801.50 
2019/6/1,7813.90 
2019/7/1,7841.00 
2019/8/1,7898.90 
2019/9/1,7954.50 
2019/10/1,8030.30 
2019/11/1,8070.10 
2019/12/1,8083.20 
2020/1/1,8093.50 
2020/2/1,8122.70 
2020/3/1,8118.80 
2020/4/1,8061.20 
2020/5/1,8017.50 
2020/6/1,8012.00 
2020/7/1,8019.40 
2020/8/1,7998.70 
2020/9/1,7979.20 
2020/10/1,8011.10 
2020/11/1,8039.40 
2020/12/1,8081.50 
2021/1/1,8113.90 
2021/2/1,8187.30 
2021/3/1,8250.00 
